chemin,fichier,type,label,format,anomalie
factures/valides/facture_0001.pdf,facture_0001.pdf,factures,valide,pdf,
factures/valides/facture_0002.pdf,facture_0002.pdf,factures,valide,pdf,
factures/valides/facture_0003.pdf,facture_0003.pdf,factures,valide,pdf,
factures/valides/facture_0004.pdf,facture_0004.pdf,factures,valide,pdf,
factures/valides/facture_0005.pdf,facture_0005.pdf,factures,valide,pdf,
factures/valides/facture_0006.pdf,facture_0006.pdf,factures,valide,pdf,
factures/valides/facture_0007.pdf,facture_0007.pdf,factures,valide,pdf,
factures/valides/facture_0008.pdf,facture_0008.pdf,factures,valide,pdf,
factures/valides/facture_0009.pdf,facture_0009.pdf,factures,valide,pdf,
factures/valides/facture_0010.pdf,facture_0010.pdf,factures,valide,pdf,
factures/valides/facture_0011.pdf,facture_0011.pdf,factures,valide,pdf,
factures/valides/facture_0012.pdf,facture_0012.pdf,factures,valide,pdf,
factures/valides/facture_0013.pdf,facture_0013.pdf,factures,valide,pdf,
factures/valides/facture_0014.pdf,facture_0014.pdf,factures,valide,pdf,
factures/valides/facture_0015.pdf,facture_0015.pdf,factures,valide,pdf,
factures/valides/facture_0016.pdf,facture_0016.pdf,factures,valide,pdf,
factures/valides/facture_0017.pdf,facture_0017.pdf,factures,valide,pdf,
factures/valides/facture_0018.pdf,facture_0018.pdf,factures,valide,pdf,
factures/valides/facture_0019.pdf,facture_0019.pdf,factures,valide,pdf,
factures/valides/facture_0020.pdf,facture_0020.pdf,factures,valide,pdf,
factures/valides/facture_0021.pdf,facture_0021.pdf,factures,valide,pdf,
factures/valides/facture_0022.pdf,facture_0022.pdf,factures,valide,pdf,
factures/valides/facture_0023.pdf,facture_0023.pdf,factures,valide,pdf,
factures/valides/facture_0024.pdf,facture_0024.pdf,factures,valide,pdf,
factures/valides/facture_0025.pdf,facture_0025.pdf,factures,valide,pdf,
factures/valides/facture_0026.pdf,facture_0026.pdf,factures,valide,pdf,
factures/valides/facture_0027.pdf,facture_0027.pdf,factures,valide,pdf,
factures/valides/facture_0028.pdf,facture_0028.pdf,factures,valide,pdf,
factures/valides/facture_0029.pdf,facture_0029.pdf,factures,valide,pdf,
factures/valides/facture_0030.pdf,facture_0030.pdf,factures,valide,pdf,
factures/valides/facture_0031.pdf,facture_0031.pdf,factures,valide,pdf,
factures/valides/facture_0032.pdf,facture_0032.pdf,factures,valide,pdf,
factures/valides/facture_0033.pdf,facture_0033.pdf,factures,valide,pdf,
factures/valides/facture_0034.pdf,facture_0034.pdf,factures,valide,pdf,
factures/valides/facture_0035.pdf,facture_0035.pdf,factures,valide,pdf,
factures/valides/facture_0036.pdf,facture_0036.pdf,factures,valide,pdf,
factures/valides/facture_0037.pdf,facture_0037.pdf,factures,valide,pdf,
factures/valides/facture_0038.pdf,facture_0038.pdf,factures,valide,pdf,
factures/valides/facture_0039.pdf,facture_0039.pdf,factures,valide,pdf,
factures/valides/facture_0040.pdf,facture_0040.pdf,factures,valide,pdf,
factures/valides/facture_0041.pdf,facture_0041.pdf,factures,valide,pdf,
factures/valides/facture_0042.pdf,facture_0042.pdf,factures,valide,pdf,
factures/valides/facture_0043.pdf,facture_0043.pdf,factures,valide,pdf,
factures/valides/facture_0044.pdf,facture_0044.pdf,factures,valide,pdf,
factures/valides/facture_0045.pdf,facture_0045.pdf,factures,valide,pdf,
factures/valides/facture_0046.pdf,facture_0046.pdf,factures,valide,pdf,
factures/valides/facture_0047.pdf,facture_0047.pdf,factures,valide,pdf,
factures/valides/facture_0048.pdf,facture_0048.pdf,factures,valide,pdf,
factures/valides/facture_0049.pdf,facture_0049.pdf,factures,valide,pdf,
factures/valides/facture_0050.pdf,facture_0050.pdf,factures,valide,pdf,
factures/erronees/cas1_tva_incoherente_01.pdf,cas1_tva_incoherente_01.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_02.pdf,cas1_tva_incoherente_02.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_03.pdf,cas1_tva_incoherente_03.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_04.pdf,cas1_tva_incoherente_04.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_05.pdf,cas1_tva_incoherente_05.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_06.pdf,cas1_tva_incoherente_06.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_07.pdf,cas1_tva_incoherente_07.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_08.pdf,cas1_tva_incoherente_08.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_09.pdf,cas1_tva_incoherente_09.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas1_tva_incoherente_10.pdf,cas1_tva_incoherente_10.pdf,factures,errone,pdf,tva_incoherente
factures/erronees/cas2_totaux_incoherents_01.pdf,cas2_totaux_incoherents_01.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_02.pdf,cas2_totaux_incoherents_02.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_03.pdf,cas2_totaux_incoherents_03.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_04.pdf,cas2_totaux_incoherents_04.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_05.pdf,cas2_totaux_incoherents_05.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_06.pdf,cas2_totaux_incoherents_06.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_07.pdf,cas2_totaux_incoherents_07.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_08.pdf,cas2_totaux_incoherents_08.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_09.pdf,cas2_totaux_incoherents_09.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas2_totaux_incoherents_10.pdf,cas2_totaux_incoherents_10.pdf,factures,errone,pdf,totaux_incoherents
factures/erronees/cas3_numero_manquant_01.pdf,cas3_numero_manquant_01.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_02.pdf,cas3_numero_manquant_02.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_03.pdf,cas3_numero_manquant_03.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_04.pdf,cas3_numero_manquant_04.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_05.pdf,cas3_numero_manquant_05.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_06.pdf,cas3_numero_manquant_06.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_07.pdf,cas3_numero_manquant_07.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_08.pdf,cas3_numero_manquant_08.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_09.pdf,cas3_numero_manquant_09.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas3_numero_manquant_10.pdf,cas3_numero_manquant_10.pdf,factures,errone,pdf,numero_manquant
factures/erronees/cas4_remise_illogique_01.pdf,cas4_remise_illogique_01.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_02.pdf,cas4_remise_illogique_02.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_03.pdf,cas4_remise_illogique_03.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_04.pdf,cas4_remise_illogique_04.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_05.pdf,cas4_remise_illogique_05.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_06.pdf,cas4_remise_illogique_06.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_07.pdf,cas4_remise_illogique_07.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_08.pdf,cas4_remise_illogique_08.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_09.pdf,cas4_remise_illogique_09.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas4_remise_illogique_10.pdf,cas4_remise_illogique_10.pdf,factures,errone,pdf,remise_illogique
factures/erronees/cas5_fournisseur_egal_client_01.pdf,cas5_fournisseur_egal_client_01.pdf,factures,errone,pdf,fournisseur_egal_client
factures/erronees/cas5_fournisseur_egal_client_02.pdf,cas5_fournisseur_egal_client_02.pdf,factures,errone,pdf,fournisseur_egal_client
