siret,siren,activitePrincipaleEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,etatAdministratifEtablissement
04007899000013,040078990,81.10Z,21,RUE,PAUL BERT,69190,SAINT-FONS,A
01134210200016,011342102,81.10Z,6,RUE,ANATOLE FRANCE,54400,LONGWY,A
03910893100013,039108931,81.10Z,7,RUE,VERONESE,75013,PARIS,A
03896226200010,038962262,81.10Z,27,RUE,DES DAMES,75017,PARIS,A
01434710800012,014347108,81.10Z,132,RUE,PIERRE DELIRY,71100,CHALON-SUR-SAONE,A
03879483000018,038794830,81.10Z,82,BOULEVARD,JOURDAN,75014,PARIS,A
03918160700019,039181607,81.10Z,207,AVENUE,CHARLES DE GAULLE,92200,NEUILLY-SUR-SEINE,A
03905840900010,039058409,81.10Z,11,RUE,MARGUERITTE,75017,PARIS,A
03932467800018,039324678,81.10Z,4,VILLA,DE GRENELLE,75015,PARIS,A
03885859300015,038858593,81.10Z,11,RUE,TRUILLOT,94200,IVRY-SUR-SEINE,A
03910030000019,039100300,81.10Z,91,AVENUE,FELIX FAURE,75015,PARIS,A
03914866300014,039148663,81.10Z,91,AVENUE,FELIX FAURE,75015,PARIS,A
03932345600010,039323456,81.10Z,1,RUE,CHARDIN,75016,PARIS,A
01956644700017,019566447,81.10Z,,,,05200,SAINT-SAUVEUR,A
03878318900012,038783189,81.10Z,63,RUE,DES BOURGUIGNONS,92270,BOIS-COLOMBES,A
03521449300013,035214493,81.10Z,2,RUE,D'AUSTERLITZ,31000,TOULOUSE,A
02658021700037,026580217,68.20B,24,RUE,A  MIGAULT,79270,FRONTENAY-ROHAN-ROHAN,A
03900014600017,039000146,81.10Z,7,RUE,BOILEAU,75016,PARIS,A
02403668300027,024036683,47.19B,,QUA,SICOTRAM,97670,CHICONI,A
03875261400016,038752614,81.10Z,9,CITE,LEMERCIER,75017,PARIS,A
03921141200018,039211412,81.10Z,16,RUE,DES IMMEUBLES INDUSTRIELS,75011,PARIS,A
03871398800012,038713988,81.10Z,,AVENUE,DE LA GRANDE ARMEE,75017,PARIS,A
03904398900019,039043989,81.10Z,9,RUE,D'ARTOIS,75008,PARIS,A
03878416100010,038784161,81.10Z,40,AVENUE,DE VILLIERS,75017,PARIS,A
03911848400011,039118484,81.10Z,8,RUE,PIERRE CHAUSSON,75010,PARIS,A
03858970100010,038589701,81.10Z,1,RUE,DES PEUPLIERS,67000,STRASBOURG,A
03931638500010,039316385,81.10Z,10,BOULEVARD,FLANDRIN,75016,PARIS,A
