# Facture Image Generation Manifest
# Generated: 2026-03-16T14:33:45.628965
# Total images: 120

# Format: filename | quality_type | quality_level | description | source_file
----------------------------------------------------------------------------------------------------
facture_2026001_clean.jpg | clean | high | Clean high-resolution image | facture-001.md
facture_2026001_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-001.md
facture_2026001_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-001.md
facture_2026002_clean.jpg | clean | high | Clean high-resolution image | facture-002.md
facture_2026002_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-002.md
facture_2026002_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-002.md
facture_2026003_clean.jpg | clean | high | Clean high-resolution image | facture-003.md
facture_2026003_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-003.md
facture_2026003_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-003.md
facture_2026004_clean.jpg | clean | high | Clean high-resolution image | facture-004.md
facture_2026004_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-004.md
facture_2026004_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-004.md
facture_2026005_clean.jpg | clean | high | Clean high-resolution image | facture-005.md
facture_2026005_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-005.md
facture_2026005_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-005.md
facture_2026006_clean.jpg | clean | high | Clean high-resolution image | facture-006.md
facture_2026006_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-006.md
facture_2026006_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-006.md
facture_2026007_clean.jpg | clean | high | Clean high-resolution image | facture-007.md
facture_2026007_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-007.md
facture_2026007_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-007.md
facture_2026008_clean.jpg | clean | high | Clean high-resolution image | facture-008.md
facture_2026008_semi_blur.jpg | semi_blur | medium | Semi-blurred image with slight motion/focus issues | facture-008.md
facture_2026008_phone_capture.jpg | phone_capture | medium | Phone-captured image with rotation and lighting effects | facture-008.md
facture_2026009_clean.jpg | clean | high | Clean high-resolution image | facture-009.md
